Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	Application Package	
jk2mp		Public	No	Allow	No	D:\program files (x86)\lucasarts\star wars jk ii jedi outcast\gamedata\jk2mp.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Knight Online		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Knight Online\Launcher.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Knight Online		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Knight Online\Launcher.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Natural Selection 2		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Natural Selection 2\NS2.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Natural Selection 2		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Natural Selection 2\NS2.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Nuclear Throne		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Nuclear Throne\nuclearthrone.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Nuclear Throne		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Nuclear Throne\nuclearthrone.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
NVIDIA Network Service TCP Exception (HTTP)		All	No	Allow	No	C:\Program Files (x86)\NVIDIA Corporation\NetService\NvNetworkService.exe	Any	Any	TCP	80	Any	Any	Any	Any	Any	Any	
NVIDIA Network Service TCP Exception (HTTPS)		All	No	Allow	No	C:\Program Files (x86)\NVIDIA Corporation\NetService\NvNetworkService.exe	Any	Any	TCP	443	Any	Any	Any	Any	Any	Any	
Overture		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Overture\Overture.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Overture		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Overture\Overture.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
PnkBstrA		Public	No	Allow	No	C:\Windows\SysWOW64\PnkBstrA.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
PnkBstrA		Public	No	Allow	No	C:\Windows\SysWOW64\PnkBstrA.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
PnkBstrB		Public	No	Allow	No	C:\Windows\SysWOW64\PnkBstrB.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
PnkBstrB		Public	No	Allow	No	C:\Windows\SysWOW64\PnkBstrB.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Rainbow Six - Siege: Game		All	Yes	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Tom Clancy's Rainbow Six Siege\RainbowSixGame.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Rainbow Six - Siege: Game		All	Yes	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Tom Clancy's Rainbow Six Siege\RainbowSixGame.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Replay Server		Public	No	Allow	No	C:\program files (x86)\core 4\client\replayserver.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Replay Server		Public	No	Allow	No	C:\program files (x86)\core 4\client\replayserver.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Roguelands		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Roguelands\Roguelands.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Roguelands		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Roguelands\Roguelands.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
SanctuaryRPG: Black Edition		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\SanctuaryRPG - Black Edition\SanctuaryRPG.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
SanctuaryRPG: Black Edition		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\SanctuaryRPG - Black Edition\SanctuaryRPG.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
SHENZHEN I/O		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\SHENZHEN IO\Shenzhen.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
SHENZHEN I/O		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\SHENZHEN IO\Shenzhen.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
SHIELD Streaming Application TCP Exception		All	No	Allow	No	C:\Program Files\NVIDIA Corporation\NvStreamSrv\nvstreamer.exe	Any	Any	TCP	47995, 47996, 47998, 35043, 48010	Any	Any	Any	Any	Any	Any	
SHIELD Streaming Application UDP Exception		All	No	Allow	No	C:\Program Files\NVIDIA Corporation\NvStreamSrv\nvstreamer.exe	Any	Any	UDP	48000, 47999, 47998, 47995, 48010	Any	Any	Any	Any	Any	Any	
SHIELD Streaming Service TCP Exception		All	No	Allow	No	C:\Program Files\NVIDIA Corporation\NvStreamSrv\NvStreamNetworkService.exe	Any	Any	TCP	47984, 47989	Any	Any	Any	Any	Any	Any	
SHIELD Streaming Service UDP Exception		All	No	Allow	No	C:\Program Files\NVIDIA Corporation\NvStreamSrv\NvStreamNetworkService.exe	Any	Any	UDP	5353, 47998	Any	Any	Any	Any	Any	Any	
SmartAgentTest		All	No	Allow	No	C:\Program Files\Intel Corporation\Intel WiDi\SmartAgentTest.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	Any	
Squad		Public	No	Allow	No	D:\program files (x86)\steam\steamapps\common\squad\squad\binaries\win64\squad.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Squad		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Squad\squad_launcher.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Squad		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Squad\squad_launcher.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Squad		Public	No	Allow	No	D:\program files (x86)\steam\steamapps\common\squad\squad\binaries\win64\squad.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
StarBreak		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\StarBreak\mvmmoclient.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
StarBreak		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\StarBreak\mvmmoclient.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Steam		All	Yes	Allow	No	D:\Program Files (x86)\Steam\Steam.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Steam		All	Yes	Allow	No	D:\Program Files (x86)\Steam\Steam.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Steam Web Helper		All	Yes	Allow	No	D:\Program Files (x86)\Steam\bin\cef\cef.win7\steamwebhelper.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Steam Web Helper		All	Yes	Allow	No	D:\Program Files (x86)\Steam\bin\steamwebhelper.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Steam Web Helper		All	Yes	Allow	No	D:\Program Files (x86)\Steam\bin\cef\cef.win7\steamwebhelper.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Steam Web Helper		All	Yes	Allow	No	D:\Program Files (x86)\Steam\bin\steamwebhelper.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
The Witcher 3: Wild Hunt		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\The Witcher 3\bin\x64\witcher3.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
The Witcher 3: Wild Hunt		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\The Witcher 3\bin\x64\witcher3.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
TIS-100		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\TIS-100\tis100.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
TIS-100		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\TIS-100\tis100.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Tom Clancy's Ghost Recon Future Soldier		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Tom Clancy's Ghost Recon Future Soldier\Future Soldier.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Tom Clancy's Ghost Recon Future Soldier		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Tom Clancy's Ghost Recon Future Soldier\Future Soldier.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Tom Clancy's Ghost Recon Phantoms - NA		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Tom Clancy's Ghost Recon Phantoms NA\Launcher.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Tom Clancy's Ghost Recon Phantoms - NA		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Tom Clancy's Ghost Recon Phantoms NA\Launcher.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Tom Clancy's Rainbow Six Siege		All	Yes	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Tom Clancy's Rainbow Six Siege\RainbowSix.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Tom Clancy's Rainbow Six Siege		All	Yes	Encrypt (Dynamic)	No	D:\Program Files (x86)\Steam\steamapps\common\Tom Clancy's Rainbow Six Siege\RainbowSix.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Tom Clancy's Rainbow Six: Vegas 2		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Rainbow Six Vegas 2\Binaries\R6Vegas2_Game.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Tom Clancy's Rainbow Six: Vegas 2		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Rainbow Six Vegas 2\Binaries\R6Vegas2_Game.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Tribes: Ascend		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Tribes\Binaries\Win32\HirezBridge.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Tribes: Ascend		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Tribes\Binaries\Win32\HirezBridge.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
tribesascend		All	No	Allow	No	D:\program files (x86)\steam\steamapps\common\tribes\binaries\win32\tribesascend.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
tribesascend		All	No	Allow	No	D:\program files (x86)\steam\steamapps\common\tribes\binaries\win32\tribesascend.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
UFO Online: Invasion		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\UFO Online Invasion\UFO Online.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
UFO Online: Invasion		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\UFO Online Invasion\UFO Online.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Unity.exe		All	Yes	Allow	No	C:\PROGRA~1\Unity\Editor\Unity.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	Any	
UnityVS.OpenFile.exe		All	Yes	Allow	No	C:\Program Files (x86)\Microsoft Visual Studio Tools for Unity\2015\UnityVS.OpenFile.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	Any	
Visual Studio 2015 Remote Debugger Discovery (devenv.exe)		All	No	Allow	No	C:\Program Files (x86)\Microsoft Visual Studio 14.0\Common7\IDE\devenv.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	Any	
Warface		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Warface\WarfaceMycomSteamLoader.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Warface		Public	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Warface\live\nw.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Warface		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Warface\WarfaceMycomSteamLoader.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Warface		Public	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Warface\live\nw.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Warface		Public	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Warface\live\gflauncher.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Warface		Public	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\Warface\live\gflauncher.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
WiDiApp		All	No	Allow	No	C:\Program Files\Intel Corporation\Intel WiDi\WiDiApp.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	Any	
WiDiAppOld		All	No	Allow	No	C:\Program Files\Intel Corporation\Intel WiDi\WiDiAppOld.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	Any	
WirelessDisplay		All	No	Allow	No	C:\Program Files\Intel Corporation\Intel WiDi\Next\WirelessDisplay.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	Any	
XCOM: Enemy Unknown		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\XCom-Enemy-Unknown\Binaries\Win32\XComGame.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
XCOM: Enemy Unknown		All	No	Allow	No	D:\Program Files (x86)\Steam\steamapps\common\XCom-Enemy-Unknown\Binaries\Win32\XComGame.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Xming X Server		Public	No	Allow	No	D:\program files (x86)\xming\xming.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any	
Xming X Server		Public	No	Allow	No	D:\program files (x86)\xming\xming.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
@{Microsoft.AAD.BrokerPlugin_1000.10240.16384.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.10240.16384.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	Domain, Private	No	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-L845VBP\Administrator	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.MicrosoftEdge_20.10240.16384.0_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftEdge/Resources/AppName}	@{Microsoft.MicrosoftEdge_20.10240.16384.0_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftEdge/Resources/AppName}	Domain, Private	No	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-L845VBP\Administrator	microsoft.microsoftedge_8wekyb3d8bbwe	
@{Microsoft.Windows.CloudExperienceHost_10.0.10240.16384_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	@{Microsoft.Windows.CloudExperienceHost_10.0.10240.16384_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	Domain, Private	No	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	S-1-5-21-715623685-1347908688-2817881105-1000	microsoft.windows.cloudexperiencehost_cw5n1h2txyewy	
@{Microsoft.Windows.CloudExperienceHost_10.0.10240.16384_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	@{Microsoft.Windows.CloudExperienceHost_10.0.10240.16384_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	Domain, Private	No	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-L845VBP\Administrator	microsoft.windows.cloudexperiencehost_cw5n1h2txyewy	
@{Microsoft.Windows.Cortana_1.4.8.152_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Cortana/resources/DisplayName}	@{Microsoft.Windows.Cortana_1.4.8.152_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Cortana/resources/DisplayName}	All	No	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-L845VBP\Administrator	microsoft.windows.cortana_cw5n1h2txyewy	
@{Windows.ContactSupport_10.0.10240.16384_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.ContactSupport/Resources/appDisplayName}	@{Windows.ContactSupport_10.0.10240.16384_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.ContactSupport/Resources/appDisplayName}	All	No	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-L845VBP\Administrator	Windows.ContactSupport_cw5n1h2txyewy	
AllJoyn Router (TCP-In)	AllJoyn Router	Domain, Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	9955	Any	Any	Any	Any	Any	Any	
AllJoyn Router (UDP-In)	AllJoyn Router	Domain, Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
AllJoyn Router (UDP-In)	AllJoyn Router	Domain, Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Cast to Device functionality (qWave-TCP-In)	Cast to Device functionality	Private, Public	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	TCP	2177	Any	Any	Any	Any	Any	Any	
Cast to Device functionality (qWave-UDP-In)	Cast to Device functionality	Private, Public	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	UDP	2177	Any	Any	Any	Any	Any	Any	
Cast to Device SSDP Discovery (UDP-In)	Cast to Device functionality	Public	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	PlayTo Discovery	Any	Any	Any	Any	Any	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Domain	No	Allow	No	System	Any	Any	TCP	10246	Any	Any	Any	Any	Any	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Private	No	Allow	No	System	Any	Local subnet	TCP	10246	Any	Any	Any	Any	Any	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Public	No	Allow	No	System	Any	PlayTo Renderers	TCP	10246	Any	Any	Any	Any	Any	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Public	No	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	UDP	Any	Any	Any	Any	Any	Any	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Private	No	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	UDP	Any	Any	Any	Any	Any	Any	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Domain	No	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Public	No	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Private	No	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Domain	No	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	Any	
Cast to Device UPnP Events (TCP-In)	Cast to Device functionality	Public	No	Allow	No	System	Any	PlayTo Renderers	TCP	2869	Any	Any	Any	Any	Any	Any	
Connect	Connect	Public	No	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-L845VBP\wmerf	microsoft.ppiprojection_cw5n1h2txyewy	
